,IDB
1831,P35579
1833,O75716
1836,P49418
1837,Q9GZY6
1838,P19235
1846,O95139
1847,Q92574
1852,Q9BRV8
1853,Q6N021
1856,Q9UPU5
1862,P42229
1866,Q8N6F7
1868,Q13085
1870,O00750
1872,Q96QF0
1874,P11413
1879,Q9Y6K9
1885,Q9NRY4
1906,Q9UQM7
1914,Q5TZA2
1915,O96017
1919,P00533
1920,O43464
1933,Q01970
1935,P22674
1936,P06737
1942,O95644
1945,Q6UWZ7
1947,Q9GZV1
1949,Q3V6T2
1951,O94782
1952,Q8NER1
1953,Q9NRM7
1954,Q13501
1957,Q15013
1962,Q8TD08
1968,P51790
1969,Q8TEM1
1970,Q96RK0
1972,Q96BK5
1980,O15117
1981,O95297
1983,Q8NEL9
1992,O75943
1993,P48681
1998,Q9UD71
2000,P35368
2001,P20936
2003,P51813
2005,P42858
2009,P17542
2010,Q14005
2013,Q6IE81
2017,Q99638
2020,P30622
2021,O95835
2022,P42575
2023,Q16623
2024,P43686
2028,P26367
2030,Q9Y2K2
2036,P35611
2043,Q8NEV4
2047,Q96FA3
2054,P49840
2059,Q9Y570
2060,Q86UR5
2063,O96013
2071,Q02156
2075,O15162
2077,A8MYZ6
2082,Q96P31
2083,Q8TD19
2085,P20749
2090,P36871
2091,O75925
2092,P33991
2095,P42771
2096,Q9BXS6
2098,Q96MT3
2100,O95551
2102,P19022
2107,Q9BYX4
2108,Q12906
2113,Q9NS56
2118,Q7Z6G8
2121,Q14195
2126,Q9UN19
2132,O94874
2135,O75533
2138,O43255
2142,Q92569
2146,Q07666
2147,Q6SZW1
2148,O75807
2152,Q8NG31
2153,P35613-2
2161,Q99626
2162,Q9UK17
2163,O60506
2164,Q9ULZ2
2179,P14317
2184,Q15311
2189,Q9UNQ0
2193,Q01974
2201,P23258
2204,P07954
2207,Q96EP5
2212,Q9GZM8
2218,P14859
2221,O00257
2225,P04004
2228,P20916
2231,Q9H4A3
2233,P81274
2236,P00451
2237,Q53H47
2238,Q9GZQ8
2239,Q9BVI0
2240,P49757
2241,Q92878
2245,Q9Y5S9
2248,P50219
2252,Q9NRA0
2258,P63000
2261,Q14643
2271,O75030
2274,P40429
2276,Q14790
2280,Q6PGQ7
2281,P11387
2286,Q9UHP3
2287,Q8TCJ0
2290,P17181
2291,Q9Y2X9
2295,Q92630
2302,P49116
2308,Q03468
2311,P35226
2313,Q01844
2315,Q13363
2317,Q7RTN6
2321,Q14872
2322,O15297
2323,Q13424
2325,P35251
2338,P19438
2339,P13639
2345,P13051
2347,Q9BZI1
2349,O15350
2350,P35270
2358,P63104
2365,P56537
2371,P51170
2385,Q7Z3C6
2398,P29374
2405,Q03112
2406,P56211
2410,O95229
2411,P25054
2416,Q9UKX7
2419,P35638
2420,P20823
2421,Q13554
2422,Q13530
2427,O95865
2428,Q92793
2431,O75553
2437,P34972
2442,O15198
2444,Q8IYT8
2448,Q92570
2451,P31751
2454,O15492
2455,Q9NQR1
2461,P10747
2466,Q9NZJ5
2468,P09327
2474,Q99798
2484,Q70Z35
2489,Q9NWZ3
2490,Q8IU85
2491,Q9Y4P1
2492,Q9Y281
2504,Q15910
2516,Q96CG3
2519,P22607
2521,Q9UNN4
2524,Q9NVP2
2526,Q9H765
2529,Q8TDN4
2534,P60891
2546,A8K4G0
2556,O95630
2559,Q9UBK2
2561,P17252
2566,P16410
2567,P42680
2568,P30419
2571,Q07812
2580,Q9H0K1
2583,P13631
2596,P55072
2597,P17813
2610,O94761
2611,Q9NZQ7
2612,O00267
2615,Q9BRS2
2618,P55087
2620,Q9NP71
2625,Q15022
2626,Q9Y261
2635,Q9NXR1
2638,P23588
2641,Q13291
2642,P25205
2647,Q86U44
2652,Q99961
2654,Q9UGI0
2658,O94811
2659,Q9UER7
2662,P11717
2668,O15516
2672,Q92538
2683,O60331
2687,P42345
2691,O43251
2696,Q9NZQ3
2698,Q9NQT8
2701,Q96I25
2702,P21127
2705,O00716
2710,Q15717
2712,Q9Y253
2722,Q9UPT5
2723,Q13362
2728,P10071
2732,Q07343-2
2741,P20248
2742,O14965
2743,Q06210
2744,Q14694
2745,P41235
2749,P48751
2750,Q9NP77
2752,Q16873
2755,P18858
2756,P35916
2758,Q08499
2767,P25490
2770,P05023
2772,Q13470
2773,O15169
2775,Q16236
2777,A1X283
2781,P49450
2787,P18084
2791,Q14134
2792,Q5S007
2794,O60260
2795,P19634
2796,Q9H9Z2
2799,Q96LC9
2820,P06748
2833,Q8WUF5
2836,O75170
2839,Q13444
2842,Q99835
2843,P53041
2851,Q9BZK7
2853,Q00610
2856,P27708
2857,Q7L0Q8
2862,P78527
2865,Q9UQC2
2875,P39748
2877,P48058
2879,P25098
2883,Q96SD1
2892,P09493
2902,P42338
2903,Q8TDC3
2905,Q5TCZ1
2912,P56178
2939,P41208
2941,Q15722
2943,P34947
2946,P17096
2951,P07108
2952,P62136
2955,Q16555
2960,P20810
2972,P41143
2973,Q06830
2982,P50616
2983,P55017
2989,P34931
2993,Q13351
3004,Q9NRH2
3005,Q68CZ2
3007,Q9Y243
3009,P52907
3014,Q9Y6X9
3017,P16234
3018,P27815
3022,Q07352
3023,P67870
3033,P35659
3035,P15311
3036,O15553
3038,Q8IVP5
3040,Q15835
3044,P31146
3049,P85298
3059,O14986
3072,P11473
3078,Q05586
3079,Q13563
3082,O95999
3085,Q8IW41
3086,P35790
3092,Q8WX93
3095,Q9BXH1
3098,P09758
3101,Q9NQG5
3103,P61006
3112,P53667
3114,P41240
3116,P51911
3118,Q02548
3126,P17931
3130,Q14185
3131,P10914
3134,Q86VB7
3137,P18206
3139,Q14155
3141,Q9UGK3
3145,Q14118
3154,P07333
3155,P54762
3157,O96028
3158,P06744
3174,Q9NZ72
3188,Q15653
3194,P49810
3196,P60983
3204,Q9BUL8
3205,P09497
3215,P57073
3218,P17480
3227,P25788
3232,Q9UHW9
3240,Q15208
3242,O96001
3255,Q9UBU7
3267,Q92769
3269,Q9BZS1
3278,Q08499-2
3282,Q6UVK1
3287,P08138
3288,Q13233
3289,Q96D31
3293,P42262
3296,Q00587
3301,P20941
3304,P14635
3309,Q16612
3314,P50542
3319,Q9BQQ3
3324,P36873
3330,Q14596
3342,Q12800
3344,Q13017
3346,Q99623
3348,P55210
3350,Q3KR16
3352,O14503
3356,O95140
3361,Q93008
3363,Q96PD2
3368,Q8TA86
3373,P78362
3375,P49715
3379,Q9NPB6
3383,Q99250
3388,P07355
3391,P49802
3402,Q2M1Z3
3405,Q49MG5
3409,P37231
3411,Q53HL2
3418,O95747
3421,Q92993
3424,Q9Y365
3425,Q9Y6W5
3434,P53355
3442,Q16513
3449,O60237
3451,O95453
3459,O60479
3460,Q9GZY8
3463,Q96KS0
3465,Q969H4
3469,O14640
3471,P36776
3478,P17844
3482,P50549
3485,P07332
3498,P04406
3505,P08151
3507,Q13315
3509,P42336
3515,Q9Y2T7
3516,Q99418
3518,Q8TEA8
3520,Q14863
3541,Q8N392
3542,Q96PU5
3544,P49407
3546,P14618
3550,P27540
3551,Q8IXJ6
3569,O15304
3577,Q99986
3581,Q9UHR4
3583,P15172
3589,P35580
3593,P01116
3603,P68104
3611,Q16204
3612,Q15382
3613,Q96PN8
3618,O60285
3619,Q96BF3
3622,Q96JH7
3625,P22059
3627,O43865
3640,Q14494
3644,P35612
3648,Q02880
3651,Q13574
3653,Q04656
3654,Q9H0D6
3666,P19105
3676,P18146
3681,P07948
3683,Q07866
3687,Q04864
3688,Q14012
3699,Q969H0
3701,Q6U7Q0
3702,Q38SD2
3709,P10070
3715,O75410
3716,O15033
3728,P51636
3731,Q9NZH5
3739,P55273
3740,P42702
3751,Q9Y448
3753,P33076
3766,Q53EL6
3768,Q13239
3769,O14737
3774,Q9BY84
3777,P32754
3779,P10636-4
3785,O15111
3788,P20700
3790,Q14315
3792,P19404
3794,P41743
3798,Q9BX84
3804,P17676
3805,Q8IUX7
3817,Q9UI09
3834,Q92466
3854,O75604
3862,P30559
3865,Q9H6L5
3875,Q08881
3876,P49321
3877,O43490
3880,Q05209
3881,Q12791
3889,Q12772
3892,Q07954
3900,P52565
3902,P16615
3903,Q86WV6
3906,O14818
3909,P12755
3910,P35241
3914,O14745
3925,Q92900
3929,Q8N8S7
3930,P24752
3931,P26038
3939,P11308
3948,Q92888
3951,Q9Y624
3952,O43623
3959,Q6NUN9
3970,Q13950
3973,O43896
3975,Q8WV24
3980,Q8IVH8
3983,Q9HBY8
3984,O14746
3994,Q14CS0
3997,P10916
3999,O14522
4006,P15941
4014,Q6P589
4016,Q9Y618
4031,Q99684
4038,Q8TAP9
4039,P08567
4040,Q9Y5S8
4041,O14649
4044,O43318
4050,Q13522
4053,Q92830
4056,Q9UQE7
4058,Q8IUQ4
4064,Q9NWQ8
4066,Q9UPP1
4070,Q14686
4072,P36956
4076,O75886
4079,P17405
4080,Q92823
4082,P78536
4094,P05976
4096,Q9NYY3
4101,Q9P0L9
4102,P22460
4109,Q13049
4123,P45973
4124,P17706
4125,Q9H093
4131,Q15569
4142,Q9BTA9
4160,P15260
4163,P0DP25
4168,P48735
4178,P00352
4183,Q9ULH1
4185,O00571
4193,P62745
4201,O60504
4203,P40189
4204,Q13905
4209,Q9Y484
4218,P31040
4223,O15294
4226,P29320
4228,Q7Z699
4229,Q9UJX2
4239,Q86XR7
4242,P62491
4247,Q96PV0
4254,Q96PY6
4258,Q71F23
4261,P39880
4273,Q13769
4274,P55010
4279,O60936
4298,Q9Y2Z0
4304,P35398
4305,Q9Y6I3
4306,Q15596
4316,Q9Y5Q3
4317,P08237
4319,Q7Z6J0
4327,P46777
4328,Q16763
4332,Q9BPU6
4338,P10586
4341,Q9Y6G9
