,uniprot
16407,P20823
16424,O75449
16445,Q14195
16457,B3SXQ8
16487,Q9P1Z0
16491,Q16122
16501,O00257
16523,Q13363
16528,P29590
16531,P52945
16571,Q13158
16575,P19419
16703,Q9BYG3
16829,Q6IA17-1
16830,P56537-1
16881,Q6FI05
16894,P10636
16907,Q16665
16908,P05067
16930,P16401
16949,P30281
16964,Q13765
17012,P12931-1
17013,O75385
17141,P13807
17146,P19838
17179,Q14103
17242,O95863
17283,Q9UMX1
17333,O75030
17351,O75030-2
17369,P54252
17611,Q15796
17625,P27361
17638,P02686
17662,P15976
17671,Q01892
17673,Q9BUB5
17677,Q9UJY1
17679,P27708
17700,Q13485
17704,P78536
17706,Q13480
17718,P56270
17728,Q15648
17852,P49366-1
17874,P41212
17876,P42229
17884,P06239
17940,P17655
17946,P28562
17951,P49795
17985,P42702
17995,Q05682
17998,P49715
18004,Q12772
18052,Q9NRF2
18142,B0I4X3
18145,Q9NQ66
18157,Q14005
18171,P27824
18181,Q9UQC2
18191,Q16828
18195,P10828
18209,P19793
18212,O75030-10
18232,Q13322
18248,P78543
18260,P17542
18278,Q15746
18344,P50548
18400,P46695
18447,Q8IW41
18496,O00213
18532,P43354
18540,Q925J9-4
18649,P40763-1
18826,P41182
18844,Q07889
18951,Q15797
19066,Q8NHW3
19078,P37231
19081,O60504
19100,Q9BY84
19108,P47712
19179,Q16659
19184,P31152
19189,P14921
19197,Q13163
19205,Q14814
19223,Q5TCN4
19340,Q9UQF2
19348,Q8WYK2
19363,P28324
19368,Q9H211
19450,P31947
19505,P54259
19687,Q12968
19728,P05067-3
19756,Q16600
19776,Q9UJU2
19778,Q9NQB0
19784,Q9UBE8
19788,P84022-1
19798,Q15796-1
20279,O75676
20284,Q16539
20301,Q9UDL5
20303,P17275
20319,Q14765
20515,O14965
20518,Q02224
20528,Q9BZB8
20532,P53350
20574,Q49MG5
20575,P49450
20578,Q3B891
20596,Q12798
20601,Q9NRM7
20608,Q9BY57
20613,P30305-3
20619,P11233
20621,P48729
20624,Q9BXS6
20627,Q92974
20630,Q14511
20642,Q9UJX3
20654,Q9Y6A5
20658,O95983
20663,Q8IX03
21051,Q8IU85
21055,Q14012
21190,P01106-1
21214,Q04864
21295,O14920
21320,Q9UHD2
21347,Q14164
21402,Q14653
21411,Q92985
21533,Q86WV6
21547,Q7LDL9
21582,Q9BXS5
21583,P49757
21584,Q96CW1
21590,Q9Y295
21591,O75716
21600,P04637-1
21624,Q9NZQ7-1
21626,P51955
21631,P36873
21642,Q9BVA8
21643,O14777
21646,Q9BV73
21701,Q8TD19
21707,Q8TDX7
21708,Q9HC98
21725,Q9BXM7-1
21751,P05198
21766,P19525
21925,Q71F23-1
21953,Q99640
21955,Q9Y2I6
21968,Q59HH6
21976,Q9NZ35
21981,Q8TDY6
21989,Q2NKX8
21995,Q71F23
21997,Q15013-1
22007,P13693
22011,O95235
22013,Q9H0H5
22023,Q9Y266
22029,O60566
22099,Q96FC3
22102,Q9NS56
22191,Q9UJX5
22206,Q9HC77
22247,Q9UQP9
22297,Q15468-1
22298,Q8NHV4-1
22322,Q9NVP2
22323,Q9Y294
22324,P81274
22333,Q53HL2
22372,P38646
22478,Q12983
22481,O60260-1
22522,Q6PHR2
22536,Q9UEW8
22538,O95747
22551,Q9H4A3
22589,Q8NBP7-1
22682,P45985
22706,P08151-1
22713,O14733
22799,P55011
22845,Q13094
22864,P04150-1
22876,P23528
22892,Q8IZJ1-1
22901,Q7L9L4
22931,P33778
22933,Q99879
22934,Q5QNW6
22939,O60814
22942,Q93079
22943,Q6DRA6
22945,P06899
22946,P57053
22947,Q6DN03
22954,Q8N257
22956,P23527
22960,P58876
22962,Q99877
22970,P62807
22971,Q99880
22981,Q9H8S9
23162,Q99523-1
23168,P01236
23194,P35240
23203,P62805
23209,O75914-2
23236,P53667聽
23241,O14713-1
23256,O96013
23320,Q9Y6E0
23335,Q9P289
23339,O00506
23402,O95273-1
23409,P46734
23414,Q15759
23415,O15264
23417,P53778
23427,Q9NQU5
23451,P45983
23455,P53779
23456,Q15711
23469,Q86WB0
23474,Q9UM73
23476,P23246
23681,P10636-1
23838,Q5MYA0
23860,Q5T2R7
23863,Q6NZY6
23868,Q00535
23869,P56945
23906,O94851-7
23956,P30530
