,0
549,PGAM2_HUMAN
550,PGAM4_HUMAN
551,PGES2_HUMAN
552,PGK1_HUMAN
553,PGK2_HUMAN
554,PGM1_HUMAN
555,PGRC1_HUMAN
556,PGTB2_HUMAN
557,PHAX_HUMAN
558,PHF5A_HUMAN
559,PHP14_HUMAN
560,PIHD1_HUMAN
561,PINX1_HUMAN
562,PIPNA_HUMAN
563,PIPNB_HUMAN
564,PIR_HUMAN
565,PJA2_HUMAN
566,PLEC_HUMAN
567,PLIN3_HUMAN
568,PLOD2_HUMAN
569,PLSI_HUMAN
570,PMM2_HUMAN
571,PMS1_HUMAN
572,PNPH_HUMAN
573,PNPO_HUMAN
574,POTEE_HUMAN
575,POTEF_HUMAN
576,POTEI_HUMAN
577,POTEJ_HUMAN
578,PP14B_HUMAN
579,PP1B_HUMAN
580,PP2AA_HUMAN
581,PP2AB_HUMAN
582,PP4C_HUMAN
583,PP4R1_HUMAN
584,PPAC_HUMAN
585,PPB1_HUMAN
586,PPBI_HUMAN
587,PPIA_HUMAN
588,PPIB_HUMAN
589,PPID_HUMAN
590,PPIL3_HUMAN
591,PPIL4_HUMAN
592,PPM1B_HUMAN
593,PPP5_HUMAN
594,PPT1_HUMAN
595,PRDX1_HUMAN
596,PRDX2_HUMAN
597,PRDX4_HUMAN
598,PRDX6_HUMAN
599,PROF1_HUMAN
600,PROF2_HUMAN
601,PRP16_HUMAN
602,PRP4B_HUMAN
603,PRP4_HUMAN
604,PRP6_HUMAN
605,PRP8_HUMAN
606,PRPK_HUMAN
607,PRS4_HUMAN
608,PRS6A_HUMAN
609,PSA1_HUMAN
610,PSA5_HUMAN
611,PSA6_HUMAN
612,PSA7L_HUMAN
613,PSA7_HUMAN
614,PSAL_HUMAN
615,PSA_HUMAN
616,PSB1_HUMAN
617,PSB5_HUMAN
618,PSB8_HUMAN
619,PSD12_HUMAN
620,PSMD1_HUMAN
621,PSMD2_HUMAN
622,PTBP1_HUMAN
623,PTN11_HUMAN
624,PTN23_HUMAN
625,PUF60_HUMAN
626,PUM1_HUMAN
627,PUR4_HUMAN
628,PUR6_HUMAN
629,PUR8_HUMAN
630,PUR9_HUMAN
631,PYC_HUMAN
632,PYGL_HUMAN
633,PYRG1_HUMAN
634,QCR7_HUMAN
635,R13AX_HUMAN
636,RAB21_HUMAN
637,RAC1_HUMAN
638,RAC2_HUMAN
639,RAC3_HUMAN
640,RADI_HUMAN
641,RAI1_HUMAN
642,RALA_HUMAN
643,RANG_HUMAN
644,RAN_HUMAN
645,RASK_HUMAN
646,RASN_HUMAN
647,RBBP4_HUMAN
648,RBBP7_HUMAN
649,RBM10_HUMAN
650,RBM15_HUMAN
651,RBM28_HUMAN
652,RBM3_HUMAN
