,Substrate
4655,Q06830
4658,Q08881
4662,Q13094
4675,Q13283
4678,Q13291
4682,Q13444
4685,Q13813
4714,Q8N1K5
4719,Q96LC7
4732,Q9BWW4
4737,Q9BZS1
4740,Q9H204
4744,Q9H4E7
4747,Q9NP31
4758,Q9UHD2
4763,Q9UN19
4767,Q9UQQ2
4770,A8K4G0
4776,O14559
4780,O15117
4802,O43294
4806,O43490
4815,O75051
4820,O75674
4830,O75955
4854,P05067
4864,P06241
4889,P10586
4892,P11137
4896,P11274
4899,P11912
4902,P12318
4913,P14923
4939,P20916
4964,P30419
4968,P31994
4974,P35354
4986,P37840
4997,P42681
5004,P51812
5019,P51911
5032,P78352
5038,Q00535
5040,Q01628
5043,Q03135
5050,Q07912
5052,Q12879
5067,Q12913
5097,Q13322
5110,Q14254
5113,Q14524
5118,Q14643
5125,Q15762
5128,Q15858
5133,Q16236
5143,Q86WV1
5154,Q8TDQ1
5159,Q96J02
5183,Q9H2K8
5186,Q9NPH5
5189,Q9NQC3
5192,Q9NWQ8
5195,Q9NZA1
5198,Q9UBN4
5201,Q9UIW2
5211,A6NKT7
5214,O00267
5220,O00399
5226,O00429
5229,O00443
5235,O00562
5242,O00571
5249,O14715
5252,O14745
5265,O14773
5270,O14980
5273,O14994
5279,O15287
5286,O15392
5290,O15446
5296,O43148
5305,O43663
5315,O60285
5335,O60566
5342,O60610
5345,O60701
5348,O75122
5361,O75152
5364,O75154
5373,O94761
5378,O94762
5381,O94782
5399,O95239
5402,O95251
5419,O95997
5441,P04179
5444,P04183
5457,P05787
5495,P08047
5504,P0C1Z6
5514,P10412
5517,P10415
5527,P11387
5548,P12270
5551,P12272
5554,P13051
5559,P14136
5563,P14635
5568,P15172
5574,P15531
5579,P15927
5600,P17096
5612,P17706
5619,P18754
5640,P20338
5661,P22234
5664,P22314
5669,P22392
5687,P23769
5697,P26358
5700,P26368
5716,P27824
5724,P29692
5728,P30101
5731,P30260
5762,P30291
5804,P31350
5813,P33316
5827,P33993
5830,P35251
5840,P36956
5861,P39880
5866,P42166
5873,P43307
5881,P46060
5900,P47736
5904,P48200
5908,P48681
5910,P49418
5923,P49459
5940,P49915
5943,P49916
5950,P50570
5955,P50613
5968,P52732
5972,P52926
5988,P54274
5993,P54578
6000,P55273
6007,P61020
6013,P61978
6016,P62136
6020,P63279
6029,P68400
6046,P78344
6049,P82970
6052,P98170
6064,Q01167
6076,Q01581
6081,Q02539
6089,Q02880
6093,Q02952
6098,Q03060
6105,Q04637
6108,Q05682
6118,Q06413
6121,Q06481
6129,Q07666
6132,Q07817
6135,Q07820
6149,Q08379
6155,Q09666
6166,Q12959
6173,Q13042
6184,Q13188
6187,Q13415
6194,Q13428
6201,Q13501
6206,Q13509
6208,Q13535
6216,Q13586
6219,Q13950
6223,Q14005
6234,Q14157
6237,Q14202
6243,Q14244
6249,Q14493
6257,Q14674
6261,Q14739
6266,Q14790
6269,Q14807
6275,Q14978
6292,Q14CB8
6297,Q14CS0
6302,Q15149
6305,Q15291
6340,Q16659
6349,Q16665
6352,Q2M2I8
6355,Q2NKX8
6363,Q53EZ4
6374,Q5FBB7
6377,Q5TB30
6385,Q6P1N0
6387,Q6PGQ7
6396,Q6Y7W6
6399,Q7Z3J3
6405,Q8IWB6
6421,Q8IX90
6426,Q8IXJ6
6430,Q8IZD2
6433,Q8IZP0
6449,Q8NEB9
6456,Q8NFH8
6464,Q8TAP9
6476,Q8TEM1
6478,Q8TF76
6487,Q8WWK9
6490,Q8WX93
6512,Q92993
6529,Q96C19
6532,Q96C36
6540,Q96FF9
6574,Q96IF1
6579,Q96JH7
6584,Q96KB5
6590,Q96Q89
6596,Q96R06
6604,Q96T23
6607,Q96T88
6626,Q99661
6629,Q99666
6633,Q99708
6635,Q99728
6644,Q9BPX3
6665,Q9BYG3
6668,Q9GZM8
6675,Q9GZV5
6688,Q9H1A4
6716,Q9H1E3
6725,Q9H467
6728,Q9H4X1
6732,Q9H8V3
6743,Q9HCH0
6758,Q9NQR1
6765,Q9NTG7
6770,Q9NTI5
6774,Q9NXR1
6783,Q9NZH5
6788,Q9NZJ0
6791,Q9NZT2
6794,Q9UBF8
6810,Q9UJ70
6813,Q9UJX2
6819,Q9UJX5
6824,Q9UKX7
6827,Q9ULC4
6839,Q9UNZ2
6848,Q9UPU5
6861,Q9UQR0
6868,Q9Y2I6
6876,Q9Y3Z3
6882,Q9Y5N6
6885,Q9Y5T5
6888,Q9Y6I3
6897,P07332
6916,P46459
6919,P07333
6942,P07947
6949,P11802
6954,P15529
6989,Q969T9
7010,O43823
7033,O60496
7040,O60711
7061,P02730
7105,P14317
7164,P31995
7168,P32927
7241,Q12972
7265,Q14289
7277,Q8N6F7
7282,Q92918
7286,Q9GZY6
7297,Q9H792
7300,Q9HBA0
7311,Q9Y6Y9
7320,P07949
7357,P18848
7407,Q8N4X5
7429,P08069
7487,Q03431
7492,P08581
7635,Q13905
7640,Q92556
7653,Q99062
7667,P09619
7705,P16234
7736,Q13769
7741,P09769
7787,Q15599
7797,P10721
7832,P27348
7836,P55196
7944,O60506
7956,P11362
7987,P16144
7996,P24752
8004,P56945
8029,Q9UBW7
8044,Q9Y2J4
8050,O43791
8088,P15923
8093,P17480
8111,P28749
8134,P43694
8184,Q08999
8204,Q14814
8209,Q8IZL8
8219,Q92879
8222,Q96KS0
8225,Q9BQA1
8234,A1X283
8237,A6NMY6
8244,O14641
8257,O14746
8277,O15056
8287,O15259
8293,O15357
8330,O43597
8334,O43613
8389,O75116
8391,O75553
8402,O75604
8412,O95297
8454,P01111
8457,P01112
8467,P01350
8470,P01889
8476,P02786
8498,P04406
8501,P04439
8509,P05023
8520,P06396
8542,P07737
8561,P08238
8567,P08727
8570,P09327
8591,P10301
8595,P10398
8605,P10828
8609,P11413
8614,P11488
8616,P11511
8642,P13688
8667,P16591
8670,P16662
8691,P18206
8696,P18433
8699,P18827
8702,P19022
8721,P19404
8727,P22001
8738,P23246
8743,P23528
8746,P23634
8788,P30411
8795,P30556
8798,P31040
8801,P31431
8811,P32004
8814,P32248
8817,P33151
8837,P35228
8842,P35579
8848,P35790
8853,P35916
8866,P35968
8869,P36544
8876,P37173
8889,P41235
8896,P41743
8941,P48167
8952,P49279
8955,P49407
8958,P49789
8967,P50402
8987,P51636
8997,P51809
9015,P51813
9019,P52565
9024,P52566
9039,P52789
9050,P53801
9081,P57737
9103,P60953
9134,P63000
9137,P63010
9141,P63244
9163,P98161
9170,Q00610
9179,Q01844
9182,Q02153
9191,Q05193
9224,Q05586
9234,Q07954
9264,Q13002
9270,Q13177
9283,Q13435
9305,Q13642
9320,Q13936
9323,Q14118
9354,Q14721
9382,Q15654
9385,Q15691
9395,Q16595
9403,Q16832
9415,Q3V6T2
9418,Q68CZ2
9425,Q6UN15
