kinase,num_random_aa,random_aa,kinase_type
ROS1,18,"exclude Y,C",Tyr kinase
TEK,18,"exclude Y,C",Tyr kinase
LTK,18,"exclude Y,C",Tyr kinase
ALK,18,"exclude Y,C",Tyr kinase
MUSK,18,"exclude Y,C",Tyr kinase
KIT,18,"exclude Y,C",Tyr kinase
CSF1R,18,"exclude Y,C",Tyr kinase
MET,18,"exclude Y,C",Tyr kinase
KDR,18,"exclude Y,C",Tyr kinase
RET,18,"exclude Y,C",Tyr kinase
MST1R,16,"exclude S,T,Y,C",Tyr kinase
JAK3,16,"exclude S,T,Y,C",Tyr kinase
FLT1,16,"exclude S,T,Y,C",Tyr kinase
MATK,18,"exclude Y,C",Tyr kinase
FGFR3,18,"exclude Y,C",Tyr kinase
FGFR2,18,"exclude Y,C",Tyr kinase
FGFR1,18,"exclude Y,C",Tyr kinase
FLT4,18,"exclude Y,C",Tyr kinase
INSR,18,"exclude Y,C",Tyr kinase
IGF1R,18,"exclude Y,C",Tyr kinase
INSRR,16,"exclude S,T,Y,C",Tyr kinase
NTRK3,18,"exclude Y,C",Tyr kinase
NTRK1,18,"exclude Y,C",Tyr kinase
NTRK2,18,"exclude Y,C",Tyr kinase
TNK1,18,"exclude Y,C",Tyr kinase
TNK2,18,"exclude Y,C",Tyr kinase
DDR2,18,"exclude Y,C",Tyr kinase
DDR1,18,"exclude Y,C",Tyr kinase
TYK2,18,"exclude Y,C",Tyr kinase
JAK2,18,"exclude Y,C",Tyr kinase
JAK1,18,"exclude Y,C",Tyr kinase
TNNI3K_TYR,18,"exclude Y,C",Tyr kinase
NEK10_TYR,16,"exclude S,T,Y,C",Tyr kinase
PINK1_TYR,16,"exclude S,T,Y,C",Tyr kinase
MAP2K7_TYR,16,"exclude S,T,Y,C",Tyr kinase
PKMYT1_TYR,16,"exclude S,T,Y,C",Tyr kinase
TESK1_TYR,16,"exclude S,T,Y,C",Tyr kinase
LIMK1_TYR,16,"exclude S,T,Y,C",Tyr kinase
LIMK2_TYR,16,"exclude S,T,Y,C",Tyr kinase
WEE1_TYR,18,"exclude Y,C",Tyr kinase
MAP2K6_TYR,16,"exclude S,T,Y,C",Tyr kinase
MAP2K4_TYR,16,"exclude S,T,Y,C",Tyr kinase
PDHK1_TYR,16,"exclude S,T,Y,C",Tyr kinase
BMPR2_TYR,16,"exclude S,T,Y,C",Tyr kinase
PDHK4_TYR,16,"exclude S,T,Y,C",Tyr kinase
PDHK3_TYR,16,"exclude S,T,Y,C",Tyr kinase
AAK1,17,"exclude S, T, C",ST kinase
ACVR2A,17,"exclude S, T, C",ST kinase
ACVR2B,17,"exclude S, T, C",ST kinase
AKT1,17,"exclude S, T, C",ST kinase
AKT2,17,"exclude S, T, C",ST kinase
AKT3,17,"exclude S, T, C",ST kinase
ALK2,17,"exclude S, T, C",ST kinase
ALK4,17,"exclude S, T, C",ST kinase
ALPHAK3,17,"exclude S, T, C",ST kinase
AMPKA1,17,"exclude S, T, C",ST kinase
AMPKA2,17,"exclude S, T, C",ST kinase
ANKRD3,17,"exclude S, T, C",ST kinase
ATM,17,"exclude S, T, C",ST kinase
ATR,17,"exclude S, T, C",ST kinase
AURA,17,"exclude S, T, C",ST kinase
AURB,17,"exclude S, T, C",ST kinase
AURC,17,"exclude S, T, C",ST kinase
GRK2,17,"exclude S, T, C",ST kinase
GRK3,17,"exclude S, T, C",ST kinase
BCKDK,17,"exclude S, T, C",ST kinase
BIKE,17,"exclude S, T, C",ST kinase
BMPR1A,17,"exclude S, T, C",ST kinase
BMPR1B,17,"exclude S, T, C",ST kinase
BMPR2,17,"exclude S, T, C",ST kinase
BRAF,17,"exclude S, T, C",ST kinase
BRSK1,17,"exclude S, T, C",ST kinase
BRSK2,17,"exclude S, T, C",ST kinase
BUB1,17,"exclude S, T, C",ST kinase
CAMK1A,17,"exclude S, T, C",ST kinase
CAMK1B,17,"exclude S, T, C",ST kinase
CAMK1D,17,"exclude S, T, C",ST kinase
CAMK1G,17,"exclude S, T, C",ST kinase
CAMK2A,17,"exclude S, T, C",ST kinase
CAMK2B,17,"exclude S, T, C",ST kinase
CAMK2D,17,"exclude S, T, C",ST kinase
CAMK2G,17,"exclude S, T, C",ST kinase
CAMK4,17,"exclude S, T, C",ST kinase
CAMKK1,17,"exclude S, T, C",ST kinase
CAMKK2,17,"exclude S, T, C",ST kinase
CAMLCK,17,"exclude S, T, C",ST kinase
CDK1,17,"exclude S, T, C",ST kinase
CDC7,17,"exclude S, T, C",ST kinase
CDK10,17,"exclude S, T, C",ST kinase
CDK19,17,"exclude S, T, C",ST kinase
CDK2,17,"exclude S, T, C",ST kinase
CDK3,17,"exclude S, T, C",ST kinase
CDK4,17,"exclude S, T, C",ST kinase
CDK5,17,"exclude S, T, C",ST kinase
CDK6,17,"exclude S, T, C",ST kinase
CDK7,17,"exclude S, T, C",ST kinase
CDK8,17,"exclude S, T, C",ST kinase
CDK9,17,"exclude S, T, C",ST kinase
CDKL1,17,"exclude S, T, C",ST kinase
CDKL5,17,"exclude S, T, C",ST kinase
CHAK1,17,"exclude S, T, C",ST kinase
CHAK2,17,"exclude S, T, C",ST kinase
CDK13,17,"exclude S, T, C",ST kinase
CHK1,17,"exclude S, T, C",ST kinase
CHK2,17,"exclude S, T, C",ST kinase
CK1A,17,"exclude S, T, C",ST kinase
CK1A2,17,"exclude S, T, C",ST kinase
CK1D,17,"exclude S, T, C",ST kinase
CK1E,17,"exclude S, T, C",ST kinase
CK1G1,17,"exclude S, T, C",ST kinase
CK1G2,17,"exclude S, T, C",ST kinase
CK1G3,17,"exclude S, T, C",ST kinase
CK2A1,17,"exclude S, T, C",ST kinase
CK2A2,17,"exclude S, T, C",ST kinase
CLK1,17,"exclude S, T, C",ST kinase
