kinase,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32
NEK2,0.6475512823933263,0.3615088331427985,-0.37821346709026665,0.13472680100315143,0.19151346926487012,-0.08350934247023357,0.05070041147468016,0.2926128984995977,-0.02094034772981434,-0.05930699501655203,-0.2856853947263479,0.0018215110798566636,0.08951440294785845,0.19854975895926916,-0.27579442510183816,-0.16966993612018683,-0.19866150237459734,-0.03787173622930525,0.08340424322027337,0.2653338671392922,0.048314777394153706,-0.08480558244441394,-0.014624228154093488,-0.017058970523556698,-0.04720556044009871,0.10700958459355044,0.17814267905795853,0.003088196560361105,-0.011651470052517657,0.1355418500101261,-0.07990726167786717,0.19328015173082372
NEK3,-1.913199232504813,0.2789286073004126,-0.1984315142537913,-0.08274934104850241,0.04494850384161428,-0.3047849242603501,0.07700200155444345,-0.12344859678128692,-0.20395442176267525,0.020709136194675855,-0.12370089049446326,0.06767860740516587,0.2270397062896623,0.16374290512791523,-0.2792641413615636,0.0009842842549541348,-0.0537301638361522,0.15086327207621975,0.05465965952689699,0.004091182248076767,-0.09835936058182078,-0.06100275201422115,0.04877393550868188,0.10709991286170592,0.0229573239152744,0.05301186745879288,-0.014521353133874287,-0.0896711100148912,-0.011139357145568228,0.012543579946860027,-0.0096116730032219,0.0884568268350615
NEK4,-2.3775779847272056,1.395616764344203,0.02161593784692565,-0.19940888683711394,0.15642681310382986,-0.43910865249358366,0.06610781593410275,-0.23783864178305666,-0.2572125827460127,0.03318298690956159,-0.29510876277796066,0.004779205636126154,0.13151254744871796,-0.18882986534341437,-0.15464839718753545,-0.07692017030729947,-0.16457539844720637,0.14070379238242872,0.061930503073941275,0.09775374844106216,0.031984625697100616,0.1749230289917528,-0.12018173374796767,0.09163407466811226,-0.1003490162138443,-0.049011110824960936,-0.12835583670793016,0.058716114946080616,-0.17955716760927806,-0.02804377835500183,-0.06304511217235265,0.15756430370658825
NEK5,-1.6640646001387598,0.3005764869022446,-0.4108235602287981,-0.1114596299617659,0.012766321808597181,-0.36369146149063836,0.10208327077769698,0.16698298387519742,-0.18266955589655573,-0.0077446868923056935,-0.32255549197295236,0.05138671307381836,0.19899905712334867,0.07774728514716427,-0.38608710569526605,-0.013836513827477467,-0.04003440742514661,-0.17046923217833057,0.24365994438361643,0.14703122768690863,0.09225070144930043,-0.019362152261643995,0.23080286122592286,-0.02439649967870044,0.12984089248671876,0.12506982587002102,0.022446985889908205,-0.041043553594866465,0.09934643569687746,0.1146415415817548,0.1739793081270873,0.06130281036090316
NEK6,1.3966641997439249,-0.29963775104800033,0.21013347290261117,0.013823213813835588,0.19508930331057475,-0.24750692857998527,0.11179848834097905,0.3195966229516838,-0.3320270707383509,-0.31324060848705676,-0.34097008921879796,-0.01742374056487744,0.35718764953417304,-0.021589419197067077,-0.15596541307095377,0.2484654005436349,0.15006858845472193,-0.02690530831385078,-0.05708298889463673,3.6317585791305984e-05,0.1485829234325917,0.032803347998823666,0.07150649808326004,0.20908671368183984,0.2300106624500423,-0.06387361607351949,0.029619648140177632,0.11596332958413456,-0.03457681532743751,0.011654385017719815,-0.10534723162666385,0.19865883248022279
NEK7,1.37407677093825,-0.6475289502826113,-0.22296595973518993,0.08766879627716194,0.14976009350291566,-0.09223278611625284,0.2531964120835863,0.4814707825754201,-0.040299311052394766,-0.31620648727140943,-0.3592341187626969,0.06760121406846997,0.21221886533994,0.028757448717094243,-0.14389929754366645,0.1689737344959824,0.010185561446923163,-0.0364987865068062,-0.04852059998317019,0.06069705237298512,0.10853246132691648,-0.0024991238799836296,0.1497537464129301,0.1263885197910934,0.13529696740384387,0.0030978579782217712,-0.038899214623695604,0.04275598282207021,-0.06542394321940377,0.09688545497603097,-0.06094079100081684,0.20676732266715955
NEK8,0.11828387460635945,-0.6927479056158734,0.2397773860772921,0.06398717072597326,-0.0648107798194092,0.033991420512761904,0.29904135999595605,0.3187088803586948,-0.11569690475702721,-0.003750248142927461,-0.4649379549202827,0.014598363007961976,0.3518678116436119,0.0645907170416513,-0.0855420289344633,0.23663728445244836,-0.1364599199966216,0.11413136090726533,0.047185961449376604,0.03236209505980138,0.08073036641732734,-0.06737963758517612,0.0547566620375978,0.15052532104764138,-0.07151051436322596,0.10029151195612819,-0.12475913787499932,-0.02748223668481527,-0.07167974250282988,0.18841901705750144,0.0794259072140403,0.19784452066325453
NEK9,-0.07286917665549533,-0.4211272543376795,0.14649285340276513,0.4794919901937895,0.4084969383388779,0.09043205891560681,-0.3733880289180716,0.10868698970380469,0.24501022667125846,0.14931905010143037,-0.2692187266708426,-0.2402292192644462,-0.1581429580360167,0.14402051032350152,0.36557383683635675,0.12514372121925002,0.25485112767542684,-0.11572224911124851,-0.3343957541681885,0.019707094442466697,0.4541495656043039,0.04617243332173729,0.4660038242436951,-0.20026644359548826,-0.06344060844657667,-0.4292552047295111,-0.026687913924861164,-0.28537679323377363,0.17643984423452203,-0.4663995465936222,-0.20182447358957464,0.578004423689725
NIM1,-1.0391670084677551,-0.29378819566861586,-0.09680367261607627,-0.12432368883847664,0.3082788980807728,0.08822969244665128,-0.24354615511229633,0.14654991158337066,-0.08917741112637284,0.09243431278319786,-0.03401749561647428,-0.06214932635052836,0.11739614820673251,0.13779944701102484,-0.0977838327106392,0.07762508962948496,0.15681424888966944,0.09137443255567367,0.13765568237141387,-0.091867221501421,-0.19623973681957246,-0.12911804329984672,-0.09061375438742965,0.07787153937319721,-0.036415208482405224,0.06614723188233297,0.04525813541297671,-0.055066367117387265,0.07160743792759838,-0.15008710973161,-0.04660216904606365,-0.013651233985148224
NLK,2.3147977210513195,1.2035104986503575,-0.11147366094839616,-0.34220226545316673,-0.5569519807678035,0.33761293043680746,0.10652466174198916,0.5549923855896293,-0.18221816862024698,0.0622432821635397,0.24740807003344029,-0.15234652566323179,0.16046763659176425,-0.22682233945069474,-0.08203676356435331,0.07481959280519235,0.00019456226772704603,-0.010659499335511535,-0.07401494125872563,0.12510597900118212,0.07293761349820752,-0.2068408120190373,0.18090824283437265,-0.031899821518311056,0.1966974602018786,-0.019117203047301946,-0.09122076981081369,-0.04073885826287508,0.03109843298666082,-0.07400175541140527,0.08188234946458679,-0.3151688153661071
