kinase,corr_with_raw,count_combined,corr_with_norm,specificity,change_corr,S_ratio,T_ratio,ID_coral,uniprot,ID_HGNC,group,family,subfamily_coral,subfamily,change_corr_norm-raw
HGK,0.049935771,902,0.277037038,0.163946129,0.227101267,0.054828512,0.09459679,HGK,O95819,MAP4K4,STE,STE20,MSN,MSN,0.227101267
TTBK1,-0.088461715,896,-0.037685382,0.363142782,0.050776333,0.062315923,0.041752179,TTBK1,Q5TCY1,TTBK1,CK1,TTBK,,TTBK,0.050776333
MST3,0.196009926,890,0.351865447,0.166034909,0.155855521,0.056394892,0.084723323,MST3,Q9Y6E0,STK24,STE,STE20,YSK,YSK,0.155855521
MST1,-0.028333452,884,0.229839483,0.152205805,0.258172936,0.048233362,0.111656336,MST1,Q13043,STK4,STE,STE20,MST,MST,0.258172936
IKKE,0.154244685,880,0.363019881,0.166552373,0.208775196,0.072546822,0.044063458,IKKe,Q14164,IKBKE,Other,IKK,,IKK,0.208775196
MST2,-0.044933448,875,0.250384143,0.144379101,0.295317591,0.062605303,0.120089311,MST2,Q13188,STK3,STE,STE20,MST,MST,0.295317591
MINK,0.06510613,863,0.346711686,0.145304146,0.281605556,0.054799957,0.105538093,MINK,Q8N4C8,MINK1,STE,STE20,MSN,MSN,0.281605556
NEK7,0.228370289,861,0.344390876,0.1177751,0.116020587,0.063778928,0.045667492,NEK7,Q8TDX7,NEK7,Other,NEK,,NEK,0.116020587
NEK2,0.134172628,857,0.229363033,0.16750704,0.095190405,0.058392957,0.049744167,NEK2,P51955,NEK2,Other,NEK,,NEK,0.095190405
CDK5,0.742260696,825,0.862305025,0.4633436,0.120044329,0.071202544,0.057020289,CDK5,Q00535,CDK5,CMGC,CDK,CDK5,CDK5,0.120044329
NEK1,-0.064026261,821,0.10622919,0.122921294,0.170255451,0.045378868,0.085159834,NEK1,Q96PY6,NEK1,Other,NEK,,NEK,0.170255451
MST4,0.232183666,816,0.33569296,0.155873679,0.103509294,0.071944716,0.047158107,MST4,Q9P289,STK26,STE,STE20,YSK,YSK,0.103509294
QIK,0.355108081,807,0.380710623,0.177103083,0.025602541,0.057669814,0.039973087,QIK,Q9H0K1,SIK2,CAMK,CAMKL,QIK,QIK,0.025602541
P38G,0.728630849,804,0.841974747,0.614754598,0.113343898,0.090061886,0.081186775,p38g,P53778,MAPK12,CMGC,MAPK,p38,p38,0.113343898
CHK1,0.30645868,799,0.361755025,0.170391468,0.055296345,0.050292734,0.045845831,CHK1,O14757,CHEK1,CAMK,CAMKL,CHK1,CHK1,0.055296345
CAMK2A,0.432255286,797,0.467290994,0.259206477,0.035035707,0.055500718,0.036182747,CaMK2a,Q9UQM7,CAMK2A,CAMK,CAMK2,,CAMK2,0.035035707
KHS1,0.079500204,789,0.315865548,0.160023247,0.236365344,0.055168507,0.097842282,KHS1,Q9Y4K4,MAP4K5,STE,STE20,KHS,KHS,0.236365344
YSK1,0.103930026,778,0.281772551,0.17155203,0.177842525,0.048617179,0.097849483,YSK1,O00506,STK25,STE,STE20,YSK,YSK,0.177842525
CK1D,0.121736298,777,0.125628657,0.697526229,0.003892359,0.042823293,0.03577721,CK1d,P48730,CSNK1D,CK1,CK1,,CK1,0.003892359
AKT1,0.698828679,774,0.695931902,0.466208181,-0.002896777,0.058371015,0.052825426,AKT1,P31749,AKT1,AGC,Akt,,Akt,-0.002896777
RSK3,0.483250476,771,0.524199375,0.408109713,0.040948899,0.064797957,0.037981534,RSK3,Q15349,RPS6KA2,AGC,RSK,RSKp90,RSKp90,0.040948899
NEK4,-0.05611256,762,0.088344725,0.122223597,0.144457285,0.047587438,0.07178449,NEK4,P51957,NEK4,Other,NEK,,NEK,0.144457285
GSK3B,0.310713728,756,0.313463333,0.744286892,0.002749605,0.049048181,0.043946855,GSK3B,P49841,GSK3B,CMGC,GSK,,GSK,0.002749605
