kinase,corr_with_raw,count_combined,corr_with_norm,specificity,change_corr,S_ratio,T_ratio,ID_coral,uniprot,ID_HGNC,group,family,subfamily_coral,subfamily,change_corr_norm-raw
PIM2,0.603428926,188,0.633671156,0.432606508,0.03024223,0.052216695,0.046624568,PIM2,Q9P1W9,PIM2,CAMK,PIM,,PIM,0.03024223
MEK1,-0.086795887,184,0.021672374,0.151891023,0.108468262,0.045598415,0.056780599,MAP2K1,Q02750,MAP2K1,STE,STE7,,STE7,0.108468262
ERK7,0.663811102,182,0.696784064,0.647505217,0.032972962,0.057817363,0.059455161,Erk7,Q8TD08,MAPK15,CMGC,MAPK,ERK7,ERK7,0.032972962
OSR1,0.027505295,181,0.214230423,0.149783923,0.186725128,0.046714884,0.106703188,OSR1,O95747,OXSR1,STE,STE20,FRAY,FRAY,0.186725128
NDR2,0.356869603,181,0.456973922,0.190073474,0.100104319,0.082519269,0.037399157,NDR2,Q9Y2H1,STK38L,AGC,NDR,,NDR,0.100104319
CLK1,0.561969292,174,0.575681836,0.415135946,0.013712544,0.058709657,0.042302904,CLK1,P49759,CLK1,CMGC,CLK,,CLK,0.013712544
COT,0.130546512,168,0.320642328,0.120275873,0.190095816,0.087488989,0.048385756,COT,P41279,MAP3K8,STE,STE-Unique,,STE-Unique,0.190095816
ACVR2A,0.371226737,164,0.398578981,0.228739092,0.027352244,0.049913307,0.046513961,ACTR2,P27037,ACVR2A,TKL,STKR,STKR2,STKR2,0.027352244
HIPK4,0.661112733,163,0.727370795,0.25024082,0.066258062,0.057064205,0.045089204,HIPK4,Q8NE63,HIPK4,CMGC,DYRK,HIPK,HIPK,0.066258062
MEKK2,-0.059868215,162,0.096731891,0.166043478,0.156600105,0.051254188,0.078164038,MAP3K2,Q9Y2U5,MAP3K2,STE,STE11,,STE11,0.156600105
LRRK2,-0.025537008,159,0.11882769,0.128790339,0.144364698,0.043106117,0.08129483,LRRK2,Q5S007,LRRK2,TKL,LRRK,,LRRK,0.144364698
PHKG1,0.238316402,158,0.323712183,0.224122856,0.085395781,0.06605805,0.03546348,PHKg1,Q16816,PHKG1,CAMK,PHK,,PHK,0.085395781
PAK5,0.494883418,155,0.523452443,0.472598443,0.028569025,0.05047694,0.038161366,PAK5,Q9P286,PAK5,STE,STE20,PAKB,PAKB,0.028569025
PERK,0.090606487,151,0.239484445,0.150532539,0.148877957,0.054865273,0.071837926,PEK,Q9NZJ5,EIF2AK3,Other,PEK,PEK,PEK,0.148877957
MOS,0.140042084,149,0.251987068,0.129892397,0.111944984,0.046621401,0.038883002,MOS,P00540,MOS,Other,MOS,,MOS,0.111944984
DNAPK,0.583885852,148,0.683517887,0.376933753,0.099632035,0.074340751,0.048588069,DNAPK,P78527,PRKDC,Atypical,PIKK,DNAPK,DNAPK,0.099632035
P70S6KB,0.406968364,147,0.447659844,0.326517644,0.04069148,0.058202444,0.048688855,p70S6Kb,Q9UBS0,RPS6KB2,AGC,RSK,RSKp70,RSKp70,0.04069148
CLK3,0.566762065,146,0.625908101,0.218531845,0.059146036,0.058738392,0.034851737,CLK3,P49761,CLK3,CMGC,CLK,,CLK,0.059146036
BRSK2,0.317707205,139,0.327656858,0.25226114,0.009949653,0.067695991,0.04383472,BRSK2,Q8IWQ3,BRSK2,CAMK,CAMKL,BRSK,BRSK,0.009949653
PAK4,0.399834153,137,0.419875751,0.524863771,0.020041598,0.047574487,0.035971378,PAK4,O96013,PAK4,STE,STE20,PAKB,PAKB,0.020041598
STLK3,-0.135246555,135,-0.072059731,0.182770898,0.063186824,0.049916069,0.117036952,STLK3,Q9UEW8,STK39,STE,STE20,FRAY,FRAY,0.063186824
CAMK1A,0.544911756,132,0.524649,0.511251394,-0.020262756,0.048323903,0.042954434,CaMK1a,Q14012,CAMK1,CAMK,CAMK1,,CAMK1,-0.020262756
CAMK1D,0.487916873,131,0.492452666,0.454945988,0.004535794,0.048527221,0.043628118,CaMK1d,Q8IU85,CAMK1D,CAMK,CAMK1,,CAMK1,0.004535794
HIPK1,0.623751298,128,0.692045226,0.431499999,0.068293927,0.055132413,0.05952214,HIPK1,Q86Z02,HIPK1,CMGC,DYRK,HIPK,HIPK,0.068293927
HASPIN,0.298398665,128,0.45055584,0.466223975,0.152157175,0.070396814,0.095966789,Haspin,Q8TF76,HASPIN,Other,Haspin,,Haspin,0.152157175
ASK1,-0.106825206,123,-0.050446954,0.301646215,0.056378253,0.06034893,0.116599324,MAP3K5,Q99683,MAP3K5,STE,STE11,,STE11,0.056378253
ATR,0.73767873,122,0.775630243,0.275012186,0.037951513,0.048112425,0.037606835,ATR,Q13535,ATR,Atypical,PIKK,ATR,ATR,0.037951513
MPSK1,0.215088986,121,0.317786047,0.203966831,0.102697061,0.050614105,0.072279662,MPSK1,O75716,STK16,Other,NAK,,NAK,0.102697061
MEK5,-0.212857818,118,-0.053920548,0.111033826,0.15893727,0.048143154,0.068505928,MAP2K5,Q13163,MAP2K5,STE,STE7,,STE7,0.15893727
PKN2,0.385554675,115,0.423293242,0.198100105,0.037738568,0.061749496,0.044453634,PKN2,Q16513,PKN2,AGC,PKN,,PKN,0.037738568
MRCKB,0.331362424,112,0.397067518,0.375729262,0.065705095,0.052225406,0.062836571,MRCKb,Q9Y5S2,CDC42BPB,AGC,DMPK,GEK,GEK,0.065705095
HIPK3,0.620166147,110,0.679036679,0.399683803,0.058870531,0.054908182,0.049152541,HIPK3,Q9H422,HIPK3,CMGC,DYRK,HIPK,HIPK,0.058870531
CDK8,0.305177415,107,0.384925214,0.542519499,0.079747799,0.073871871,0.041968963,CDK8,P49336,CDK8,CMGC,CDK,CDK8,CDK8,0.079747799
BUB1,0.15463523,106,0.179523986,0.240231944,0.024888756,0.048003091,0.042767864,BUB1,O43683,BUB1,Other,BUB,,BUB,0.024888756
MEKK3,-0.09335115,104,0.022304745,0.127274356,0.115655895,0.051621339,0.068360721,MAP3K3,Q99759,MAP3K3,STE,STE11,,STE11,0.115655895
GRK1,0.285301979,101,0.3197471,0.18490309,0.03444512,0.052647454,0.029513954,RHOK,Q15835,GRK1,AGC,GRK,GRK,GRK,0.03444512
